case_id,case_kind,parent_id,operator,report_class,expected_decision,evaluator_name,decision,correct,dim_claim_evidence_consistency,dim_evidence_completeness,dim_impact_calibration,dim_reproducibility,dim_scope_consistency,confidence
canonical-authz-001,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-authz2-014,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-cachehdr-024,canonical,,,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
canonical-cachepois-027,canonical,,,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
canonical-corswild-025,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,0.772,1.0,0.6
canonical-crypto-011,canonical,,,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
canonical-cspnonc-021,canonical,,,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
canonical-csvinj-017,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-deserial-030,canonical,,,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
canonical-dup-007,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
canonical-filetype-023,canonical,,,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
canonical-ghauthz-015,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-graphql-028,canonical,,,review,needs_manual_review,rules-baseline,reject,0,1.0,1.0,1.0,0.772,1.0,0.6
canonical-headermiss-020,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,0.772,1.0,0.6
canonical-idor-004,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-info-006,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
canonical-infodisc-016,canonical,,,valid,accept,rules-baseline,needs_manual_review,0,1.0,1.0,1.0,0.772,1.0,0.45
canonical-jwtalg-026,canonical,,,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
canonical-loginject-031,canonical,,,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
canonical-massign-014,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
